time,SSID,mac_addr,signal_str
2019-05-10 08:23:15,NTUSECURE,a8:9d:21:1d:f1:01,-70
2019-05-10 08:23:15,NTUSECURE,74:a2:e6:aa:78:21,-83
2019-05-10 08:23:15,NTUSECURE,a8:9d:21:3a:82:be,-47
2019-05-10 08:23:15,NTUSECURE,a8:9d:21:1d:f1:0e,-62
2019-05-10 08:23:15,NTUSECURE,a8:9d:21:3e:3f:fe,-65
2019-05-10 08:23:15,NTUSECURE,a8:9d:21:3e:3f:f1,-71
2019-05-10 08:23:15,NTUSECURE,a8:9d:21:3c:47:0e,-85
2019-05-10 08:23:15,NTUSECURE,a8:9d:21:1d:f1:31,-83
2019-05-10 08:23:18,NTUSECURE,a8:9d:21:1d:f1:01,-67
2019-05-10 08:23:18,NTUSECURE,74:a2:e6:aa:78:21,-86
2019-05-10 08:23:18,NTUSECURE,a8:9d:21:3a:82:be,-47
2019-05-10 08:23:18,NTUSECURE,a8:9d:21:1d:f1:0e,-61
2019-05-10 08:23:18,NTUSECURE,a8:9d:21:3e:3f:fe,-65
2019-05-10 08:23:18,NTUSECURE,a8:9d:21:3e:3f:f1,-71
2019-05-10 08:23:18,NTUSECURE,a8:9d:21:3c:47:0e,-85
2019-05-10 08:23:18,NTUSECURE,a8:9d:21:1d:f1:31,-82
2019-05-10 08:23:18,NTUSECURE,a8:9d:21:3a:82:b1,-64
2019-05-10 08:23:18,NTUSECURE,a8:9d:21:1d:f1:3e,-78
2019-05-10 08:23:21,NTUSECURE,a8:9d:21:1d:f1:01,-66
2019-05-10 08:23:21,NTUSECURE,74:a2:e6:aa:78:21,-86
2019-05-10 08:23:21,NTUSECURE,a8:9d:21:3a:82:be,-47
2019-05-10 08:23:21,NTUSECURE,a8:9d:21:1d:f1:0e,-62
2019-05-10 08:23:21,NTUSECURE,a8:9d:21:3e:3f:fe,-64
2019-05-10 08:23:21,NTUSECURE,a8:9d:21:3e:3f:f1,-71
2019-05-10 08:23:21,NTUSECURE,a8:9d:21:3c:47:0e,-85
2019-05-10 08:23:21,NTUSECURE,a8:9d:21:1d:f1:31,-82
2019-05-10 08:23:21,NTUSECURE,a8:9d:21:3a:82:b1,-64
2019-05-10 08:23:21,NTUSECURE,a8:9d:21:1d:f1:3e,-76
2019-05-10 08:23:24,NTUSECURE,a8:9d:21:1d:f1:01,-66
2019-05-10 08:23:24,NTUSECURE,74:a2:e6:aa:78:21,-86
2019-05-10 08:23:24,NTUSECURE,a8:9d:21:3a:82:be,-47
2019-05-10 08:23:24,NTUSECURE,a8:9d:21:1d:f1:0e,-64
2019-05-10 08:23:24,NTUSECURE,a8:9d:21:3e:3f:fe,-64
2019-05-10 08:23:24,NTUSECURE,a8:9d:21:3e:3f:f1,-71
2019-05-10 08:23:24,NTUSECURE,a8:9d:21:1d:f1:31,-83
2019-05-10 08:23:24,NTUSECURE,a8:9d:21:3a:82:b1,-65
2019-05-10 08:23:24,NTUSECURE,a8:9d:21:1d:f1:3e,-75
2019-05-10 08:23:24,NTUSECURE,74:a2:e6:aa:78:2e,-86
2019-05-10 08:23:27,NTUSECURE,a8:9d:21:1d:f1:01,-67
2019-05-10 08:23:27,NTUSECURE,74:a2:e6:aa:78:21,-86
2019-05-10 08:23:27,NTUSECURE,a8:9d:21:3a:82:be,-48
2019-05-10 08:23:27,NTUSECURE,a8:9d:21:1d:f1:0e,-66
2019-05-10 08:23:27,NTUSECURE,a8:9d:21:3e:3f:fe,-62
2019-05-10 08:23:27,NTUSECURE,a8:9d:21:3e:3f:f1,-72
2019-05-10 08:23:27,NTUSECURE,a8:9d:21:1d:f1:31,-83
2019-05-10 08:23:27,NTUSECURE,a8:9d:21:3a:82:b1,-65
2019-05-10 08:23:27,NTUSECURE,a8:9d:21:1d:f1:3e,-75
2019-05-10 08:23:27,NTUSECURE,74:a2:e6:aa:78:2e,-86
2019-05-10 08:23:27,NTUSECURE,a8:9d:21:3c:47:0e,-86
2019-05-10 08:23:30,NTUSECURE,a8:9d:21:1d:f1:01,-66
2019-05-10 08:23:30,NTUSECURE,74:a2:e6:aa:78:21,-85
2019-05-10 08:23:30,NTUSECURE,a8:9d:21:3a:82:be,-47
