time,SSID,mac_addr,signal_str
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:1d:f1:0e,-79
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:1d:f1:3e,-67
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:3a:82:be,-53
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:3e:3f:fe,-57
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:3e:3f:f1,-55
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:3c:47:01,-78
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:3a:82:b1,-66
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:3c:47:0e,-73
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:1d:f1:31,-70
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:3c:3c:d1,-89
2019-05-10 08:35:41,NTUSECURE,a8:9d:21:24:ca:61,-87
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:1d:f1:0e,-78
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:3a:82:be,-54
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:3e:3f:fe,-56
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:3e:3f:f1,-55
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:3c:47:01,-78
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:3a:82:b1,-65
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:3c:47:0e,-70
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:1d:f1:31,-71
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:3c:3c:d1,-85
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:24:ca:61,-87
2019-05-10 08:35:44,NTUSECURE,a8:9d:21:1d:f1:01,-86
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:1d:f1:0e,-79
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:1d:f1:3e,-67
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:3a:82:be,-56
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:3e:3f:fe,-56
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:3e:3f:f1,-55
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:3c:47:01,-78
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:3a:82:b1,-66
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:3c:47:0e,-75
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:1d:f1:31,-71
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:3c:3c:d1,-85
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:24:ca:61,-87
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:1d:f1:01,-85
2019-05-10 08:35:47,NTUSECURE,a8:9d:21:24:ca:6e,-85
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:1d:f1:0e,-78
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:3a:82:be,-57
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:3e:3f:fe,-55
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:3e:3f:f1,-55
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:3c:47:01,-79
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:3a:82:b1,-66
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:3c:47:0e,-74
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:1d:f1:31,-72
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:3c:3c:d1,-86
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:24:ca:61,-87
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:1d:f1:01,-86
2019-05-10 08:35:50,NTUSECURE,a8:9d:21:24:ca:6e,-85
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:1d:f1:0e,-81
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:3a:82:be,-56
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:3e:3f:fe,-57
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:3e:3f:f1,-54
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:3c:47:01,-78
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:3a:82:b1,-68
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:3c:47:0e,-74
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:1d:f1:31,-72
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:3c:3c:d1,-87
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:24:ca:61,-85
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:1d:f1:01,-86
2019-05-10 08:35:53,NTUSECURE,a8:9d:21:24:ca:6e,-85
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:1d:f1:0e,-81
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:1d:f1:3e,-67
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:3a:82:be,-54
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:3e:3f:fe,-58
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:3e:3f:f1,-55
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:3c:47:01,-79
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:3a:82:b1,-71
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:3c:47:0e,-72
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:1d:f1:31,-72
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:3c:3c:d1,-87
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:24:ca:61,-85
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:1d:f1:01,-86
2019-05-10 08:35:56,NTUSECURE,a8:9d:21:24:ca:6e,-85
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:1d:f1:0e,-81
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:1d:f1:3e,-65
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:3a:82:be,-55
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:3e:3f:fe,-56
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:3e:3f:f1,-55
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:3c:47:01,-80
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:3a:82:b1,-69
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:3c:47:0e,-74
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:1d:f1:31,-73
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:3c:3c:d1,-87
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:24:ca:61,-85
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:1d:f1:01,-86
2019-05-10 08:35:59,NTUSECURE,a8:9d:21:24:ca:6e,-85
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:1d:f1:0e,-81
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:3a:82:be,-61
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:3e:3f:fe,-56
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:3e:3f:f1,-55
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:3c:47:01,-80
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:3a:82:b1,-68
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:3c:47:0e,-74
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:1d:f1:31,-72
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:24:ca:61,-85
2019-05-10 08:36:02,NTUSECURE,a8:9d:21:1d:f1:01,-84
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:1d:f1:0e,-81
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:1d:f1:3e,-61
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:3a:82:be,-58
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:3e:3f:fe,-56
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:3e:3f:f1,-56
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:3c:47:01,-80
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:3a:82:b1,-70
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:3c:47:0e,-75
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:1d:f1:31,-72
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:24:ca:61,-85
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:1d:f1:01,-87
2019-05-10 08:36:05,NTUSECURE,a8:9d:21:3c:3c:d1,-88
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:1d:f1:0e,-81
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:1d:f1:3e,-62
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:3a:82:be,-58
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:3e:3f:fe,-55
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:3e:3f:f1,-55
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:3c:47:01,-82
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:3a:82:b1,-70
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:3c:47:0e,-74
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:1d:f1:31,-71
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:24:ca:61,-84
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:1d:f1:01,-85
2019-05-10 08:36:08,NTUSECURE,a8:9d:21:3c:3c:d1,-88
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:1d:f1:0e,-81
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:1d:f1:3e,-65
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:3a:82:be,-57
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:3e:3f:fe,-56
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:3e:3f:f1,-55
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:3c:47:01,-80
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:3a:82:b1,-71
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:3c:47:0e,-73
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:1d:f1:31,-73
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:24:ca:61,-85
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:1d:f1:01,-85
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:3c:3c:d1,-88
2019-05-10 08:36:11,NTUSECURE,a8:9d:21:24:ca:6e,-84
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:1d:f1:0e,-81
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:1d:f1:3e,-67
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:3a:82:be,-57
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:3e:3f:fe,-55
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:3e:3f:f1,-56
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:3c:47:01,-80
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:3a:82:b1,-67
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:3c:47:0e,-74
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:1d:f1:31,-72
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:24:ca:61,-84
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:1d:f1:01,-85
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:3c:3c:d1,-87
2019-05-10 08:36:14,NTUSECURE,a8:9d:21:24:ca:6e,-84
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:1d:f1:0e,-80
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:1d:f1:3e,-67
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:3a:82:be,-55
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:3e:3f:fe,-55
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:3e:3f:f1,-56
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:3c:47:01,-82
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:3a:82:b1,-66
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:3c:47:0e,-73
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:1d:f1:31,-71
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:24:ca:61,-84
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:1d:f1:01,-86
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:3c:3c:d1,-87
2019-05-10 08:36:17,NTUSECURE,a8:9d:21:24:ca:6e,-84
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:1d:f1:0e,-83
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:3a:82:be,-57
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:3e:3f:fe,-54
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:3e:3f:f1,-57
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:3c:47:01,-82
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:3a:82:b1,-62
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:3c:47:0e,-72
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:1d:f1:31,-71
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:24:ca:61,-85
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:1d:f1:01,-85
2019-05-10 08:36:20,NTUSECURE,a8:9d:21:3c:3c:d1,-88
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:1d:f1:0e,-79
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:3a:82:be,-57
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:3e:3f:fe,-54
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:3e:3f:f1,-56
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:3c:47:01,-80
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:3a:82:b1,-62
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:3c:47:0e,-72
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:1d:f1:31,-72
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:24:ca:61,-83
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:1d:f1:01,-86
2019-05-10 08:36:23,NTUSECURE,a8:9d:21:3c:3c:d1,-88
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:1d:f1:0e,-79
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:1d:f1:3e,-67
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:3a:82:be,-56
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:3e:3f:fe,-56
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:3e:3f:f1,-59
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:3c:47:01,-79
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:3a:82:b1,-63
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:3c:47:0e,-74
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:1d:f1:31,-71
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:24:ca:61,-82
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:1d:f1:01,-85
2019-05-10 08:36:26,NTUSECURE,a8:9d:21:3c:3c:d1,-89
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:1d:f1:0e,-79
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:1d:f1:3e,-63
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:3a:82:be,-54
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:3e:3f:fe,-52
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:3e:3f:f1,-56
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:3c:47:01,-77
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:3a:82:b1,-65
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:3c:47:0e,-76
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:1d:f1:31,-70
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:24:ca:61,-88
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:1d:f1:01,-87
2019-05-10 08:36:29,NTUSECURE,a8:9d:21:3c:3c:d1,-88
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:1d:f1:0e,-81
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:1d:f1:3e,-65
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:3a:82:be,-54
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:3e:3f:fe,-52
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:3e:3f:f1,-60
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:3c:47:01,-81
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:3a:82:b1,-64
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:3c:47:0e,-73
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:1d:f1:31,-70
2019-05-10 08:36:32,NTUSECURE,a8:9d:21:24:ca:61,-88
