time,SSID,mac_addr,signal_str
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:1d:f1:0e,-69
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:3a:82:be,-41
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:3e:3f:fe,-57
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:3e:3f:f1,-64
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:3a:82:b1,-48
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:1d:f1:31,-74
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:3c:47:0e,-81
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:1d:f1:01,-74
2019-05-10 08:38:41,NTUSECURE,a8:9d:21:3c:3c:d1,-83
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:1d:f1:0e,-69
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:3a:82:be,-46
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:3e:3f:fe,-58
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:3e:3f:f1,-62
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:3a:82:b1,-49
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:1d:f1:31,-73
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:3c:47:0e,-81
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:1d:f1:01,-75
2019-05-10 08:38:44,NTUSECURE,a8:9d:21:3c:3c:d1,-83
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:1d:f1:0e,-71
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:1d:f1:3e,-67
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:3a:82:be,-45
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:3e:3f:fe,-57
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:3e:3f:f1,-63
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:3a:82:b1,-49
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:1d:f1:31,-74
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:3c:47:0e,-81
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:1d:f1:01,-75
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:3c:3c:d1,-84
2019-05-10 08:38:47,NTUSECURE,a8:9d:21:3c:47:01,-84
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:1d:f1:0e,-69
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:3a:82:be,-46
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:3e:3f:fe,-58
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:3e:3f:f1,-62
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:3a:82:b1,-49
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:1d:f1:31,-75
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:1d:f1:01,-76
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:3c:3c:d1,-82
2019-05-10 08:38:50,NTUSECURE,a8:9d:21:3c:47:01,-83
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:1d:f1:0e,-67
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:3a:82:be,-45
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:3e:3f:fe,-59
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:3e:3f:f1,-62
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:3a:82:b1,-49
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:1d:f1:31,-74
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:1d:f1:01,-77
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:3c:3c:d1,-84
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:3c:47:01,-83
2019-05-10 08:38:53,NTUSECURE,a8:9d:21:3c:47:0e,-85
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:1d:f1:0e,-68
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:1d:f1:3e,-66
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:3a:82:be,-45
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:3e:3f:fe,-58
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:3e:3f:f1,-62
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:3a:82:b1,-49
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:1d:f1:31,-74
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:1d:f1:01,-79
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:3c:3c:d1,-81
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:3c:47:01,-85
2019-05-10 08:38:56,NTUSECURE,a8:9d:21:3c:47:0e,-84
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:1d:f1:0e,-68
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:1d:f1:3e,-63
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:3a:82:be,-45
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:3e:3f:fe,-59
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:3e:3f:f1,-63
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:3a:82:b1,-48
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:1d:f1:31,-75
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:1d:f1:01,-76
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:3c:3c:d1,-82
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:3c:47:01,-85
2019-05-10 08:38:59,NTUSECURE,a8:9d:21:3c:47:0e,-84
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:1d:f1:0e,-69
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:1d:f1:3e,-64
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:3a:82:be,-44
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:3e:3f:fe,-59
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:3e:3f:f1,-63
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:3a:82:b1,-48
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:1d:f1:31,-75
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:1d:f1:01,-79
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:3c:3c:d1,-82
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:3c:47:01,-84
2019-05-10 08:39:02,NTUSECURE,a8:9d:21:3c:47:0e,-84
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:1d:f1:0e,-71
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:1d:f1:3e,-62
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:3a:82:be,-43
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:3e:3f:fe,-58
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:3e:3f:f1,-62
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:3a:82:b1,-49
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:1d:f1:31,-77
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:1d:f1:01,-78
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:3c:3c:d1,-82
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:3c:47:01,-83
2019-05-10 08:39:05,NTUSECURE,a8:9d:21:3c:47:0e,-84
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:1d:f1:0e,-68
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:1d:f1:3e,-63
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:3a:82:be,-44
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:3e:3f:fe,-56
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:3e:3f:f1,-62
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:3a:82:b1,-48
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:1d:f1:31,-77
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:1d:f1:01,-79
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:3c:3c:d1,-81
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:3c:47:01,-86
2019-05-10 08:39:08,NTUSECURE,a8:9d:21:3c:47:0e,-84
