time,SSID,mac_addr,signal_str
2019-05-10 08:41:34,NTUSECURE,a8:9d:21:3e:3f:fe,-81
2019-05-10 08:41:34,NTUSECURE,a8:9d:21:3e:3f:f1,-77
2019-05-10 08:41:34,NTUSECURE,a8:9d:21:3a:82:b1,-87
2019-05-10 08:41:34,NTUSECURE,a8:9d:21:3c:47:01,-43
2019-05-10 08:41:34,NTUSECURE,a8:9d:21:3c:47:0e,-41
2019-05-10 08:41:34,NTUSECURE,a8:9d:21:25:40:41,-75
2019-05-10 08:41:34,NTUSECURE,a8:9d:21:1d:f1:3e,-60
2019-05-10 08:41:34,NTUSECURE,a8:9d:21:1d:f1:01,-78
2019-05-10 08:41:34,NTUSECURE,a8:9d:21:1d:f1:0e,-71
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:3e:3f:fe,-81
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:3e:3f:f1,-81
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:3a:82:b1,-87
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:3c:47:01,-41
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:3c:47:0e,-44
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:25:40:41,-79
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:1d:f1:3e,-58
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:1d:f1:01,-82
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:1d:f1:0e,-71
2019-05-10 08:41:37,NTUSECURE,a8:9d:21:1d:f1:31,-69
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:3e:3f:fe,-81
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:3e:3f:f1,-81
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:3a:82:b1,-87
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:3c:47:01,-42
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:3c:47:0e,-44
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:25:40:41,-78
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:1d:f1:3e,-59
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:1d:f1:01,-83
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:1d:f1:0e,-71
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:1d:f1:31,-69
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:25:40:4e,-80
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:3a:82:be,-84
2019-05-10 08:41:40,NTUSECURE,a8:9d:21:24:ca:61,-88
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:3e:3f:fe,-82
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:3e:3f:f1,-82
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:3a:82:b1,-87
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:3c:47:01,-42
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:3c:47:0e,-44
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:25:40:41,-77
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:1d:f1:3e,-58
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:1d:f1:01,-84
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:1d:f1:0e,-71
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:1d:f1:31,-67
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:25:40:4e,-80
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:3a:82:be,-84
2019-05-10 08:41:43,NTUSECURE,a8:9d:21:24:ca:61,-87
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:3e:3f:fe,-80
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:3e:3f:f1,-82
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:3a:82:b1,-87
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:3c:47:01,-42
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:3c:47:0e,-44
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:25:40:41,-77
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:1d:f1:3e,-60
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:1d:f1:01,-83
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:1d:f1:0e,-71
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:1d:f1:31,-67
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:25:40:4e,-81
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:3a:82:be,-84
2019-05-10 08:41:46,NTUSECURE,a8:9d:21:24:ca:61,-88
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:3e:3f:fe,-83
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:3e:3f:f1,-82
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:3c:47:01,-43
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:3c:47:0e,-44
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:25:40:41,-79
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:1d:f1:3e,-59
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:1d:f1:01,-83
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:1d:f1:0e,-71
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:1d:f1:31,-68
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:25:40:4e,-81
2019-05-10 08:41:50,NTUSECURE,a8:9d:21:24:ca:61,-87
2019-05-10 08:41:53,NTUSECURE,a8:9d:21:3e:3f:fe,-83
2019-05-10 08:41:53,NTUSECURE,a8:9d:21:3e:3f:f1,-82
2019-05-10 08:41:53,NTUSECURE,a8:9d:21:3c:47:01,-42
2019-05-10 08:41:53,NTUSECURE,a8:9d:21:3c:47:0e,-44
2019-05-10 08:41:53,NTUSECURE,a8:9d:21:25:40:41,-79
2019-05-10 08:41:53,NTUSECURE,a8:9d:21:1d:f1:3e,-60
2019-05-10 08:41:53,NTUSECURE,a8:9d:21:1d:f1:01,-82
