time,SSID,mac_addr,signal_str
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:3a:82:be,-60
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:3e:3f:fe,-52
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:3e:3f:f1,-50
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:3a:82:b1,-71
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:1d:f1:31,-78
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:3c:47:01,-69
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:3c:47:0e,-70
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:24:ca:61,-81
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:25:40:41,-87
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:1d:f1:3e,-74
2019-05-10 08:39:54,NTUSECURE,a8:9d:21:24:ca:6e,-82
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:3a:82:be,-60
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:3e:3f:fe,-51
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:3e:3f:f1,-50
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:3a:82:b1,-72
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:1d:f1:31,-81
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:3c:47:01,-70
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:3c:47:0e,-70
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:24:ca:61,-80
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:25:40:41,-86
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:1d:f1:3e,-73
2019-05-10 08:39:57,NTUSECURE,a8:9d:21:24:ca:6e,-82
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:3a:82:be,-60
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:3e:3f:fe,-51
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:3e:3f:f1,-50
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:3a:82:b1,-71
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:1d:f1:31,-81
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:3c:47:01,-70
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:3c:47:0e,-71
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:24:ca:61,-80
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:25:40:41,-87
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:1d:f1:3e,-72
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:24:ca:6e,-82
2019-05-10 08:40:00,NTUSECURE,a8:9d:21:1d:f1:01,-89
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:3a:82:be,-59
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:3e:3f:fe,-51
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:3e:3f:f1,-48
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:3a:82:b1,-71
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:1d:f1:31,-82
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:3c:47:01,-72
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:3c:47:0e,-70
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:24:ca:61,-80
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:25:40:41,-85
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:1d:f1:3e,-73
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:1d:f1:01,-89
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:1d:f1:0e,-83
2019-05-10 08:40:03,NTUSECURE,a8:9d:21:25:40:4e,-85
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:3a:82:be,-61
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:3e:3f:fe,-53
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:3e:3f:f1,-50
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:3a:82:b1,-72
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:1d:f1:31,-79
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:3c:47:01,-70
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:3c:47:0e,-70
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:24:ca:61,-79
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:25:40:41,-86
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:1d:f1:3e,-75
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:1d:f1:01,-89
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:1d:f1:0e,-83
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:25:40:4e,-85
2019-05-10 08:40:06,NTUSECURE,a8:9d:21:24:ca:6e,-81
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:3a:82:be,-62
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:3e:3f:fe,-52
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:3e:3f:f1,-50
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:3a:82:b1,-72
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:1d:f1:31,-78
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:3c:47:01,-71
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:3c:47:0e,-70
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:24:ca:61,-79
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:25:40:41,-86
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:1d:f1:3e,-75
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:1d:f1:01,-89
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:1d:f1:0e,-83
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:25:40:4e,-85
2019-05-10 08:40:09,NTUSECURE,a8:9d:21:24:ca:6e,-81
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:3a:82:be,-61
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:3e:3f:fe,-51
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:3e:3f:f1,-50
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:3a:82:b1,-72
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:1d:f1:31,-81
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:3c:47:01,-71
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:3c:47:0e,-70
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:24:ca:61,-79
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:25:40:41,-86
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:1d:f1:3e,-73
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:1d:f1:01,-90
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:1d:f1:0e,-83
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:25:40:4e,-85
2019-05-10 08:40:12,NTUSECURE,a8:9d:21:24:ca:6e,-81
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:3a:82:be,-63
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:3e:3f:fe,-50
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:3e:3f:f1,-50
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:3a:82:b1,-73
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:1d:f1:31,-82
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:3c:47:01,-71
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:3c:47:0e,-71
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:24:ca:61,-80
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:25:40:41,-86
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:1d:f1:3e,-73
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:1d:f1:01,-88
2019-05-10 08:40:15,NTUSECURE,a8:9d:21:24:ca:6e,-82
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:3a:82:be,-60
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:3e:3f:fe,-49
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:3e:3f:f1,-50
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:3a:82:b1,-73
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:1d:f1:31,-79
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:3c:47:01,-72
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:3c:47:0e,-72
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:24:ca:61,-75
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:25:40:41,-86
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:1d:f1:3e,-73
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:1d:f1:01,-87
2019-05-10 08:40:18,NTUSECURE,a8:9d:21:24:ca:6e,-82
